run,id,freq,s11,s12,x,y,z,note
1,153,1083333333.33333,-1.51646542549133,-69.5024871826172,4.55999999999999,0,0,2023_05_11_02 -
1,153,1125000000,-1.28471863269806,-75.7977447509766,4.55999999999999,0,0,2023_05_11_02 -
1,153,1166666666.66667,-1.35488367080688,-72.4781646728516,4.55999999999999,0,0,2023_05_11_02 -
1,153,1208333333.33333,-1.74700689315796,-67.8850402832031,4.55999999999999,0,0,2023_05_11_02 -
1,153,1250000000,-1.76608490943909,-65.6947937011719,4.55999999999999,0,0,2023_05_11_02 -
1,153,1291666666.66667,-3.16318607330322,-46.4611473083496,4.55999999999999,0,0,2023_05_11_02 -
1,153,1333333333.33333,-1.9830322265625,-47.3406028747559,4.55999999999999,0,0,2023_05_11_02 -
1,153,1375000000,-4.9725923538208,-40.7463684082031,4.55999999999999,0,0,2023_05_11_02 -
1,153,1416666666.66667,-3.59921455383301,-39.809024810791,4.55999999999999,0,0,2023_05_11_02 -
1,153,1458333333.33333,-1.84784805774689,-44.4603691101074,4.55999999999999,0,0,2023_05_11_02 -
1,153,1500000000,-2.17130446434021,-42.1663436889648,4.55999999999999,0,0,2023_05_11_02 -
1,153,1541666666.66667,-3.52016568183899,-37.6849250793457,4.55999999999999,0,0,2023_05_11_02 -
1,153,1583333333.33333,-13.1138706207275,-32.4737968444824,4.55999999999999,0,0,2023_05_11_02 -
1,153,1625000000,-3.18073678016663,-36.6696815490723,4.55999999999999,0,0,2023_05_11_02 -
1,153,1666666666.66667,-2.19167685508728,-38.3690071105957,4.55999999999999,0,0,2023_05_11_02 -
1,153,1708333333.33333,-2.3978316783905,-39.1862258911133,4.55999999999999,0,0,2023_05_11_02 -
1,153,1750000000,-2.30335855484009,-39.2334213256836,4.55999999999999,0,0,2023_05_11_02 -
1,153,1791666666.66667,-2.45722603797913,-36.5319175720215,4.55999999999999,0,0,2023_05_11_02 -
1,153,1833333333.33333,-4.72839689254761,-33.217399597168,4.55999999999999,0,0,2023_05_11_02 -
1,153,1875000000,-8.50134372711182,-31.0261993408203,4.55999999999999,0,0,2023_05_11_02 -
1,153,1916666666.66667,-5.24226999282837,-32.5590667724609,4.55999999999999,0,0,2023_05_11_02 -
1,153,1958333333.33333,-3.05891633033752,-36.6270751953125,4.55999999999999,0,0,2023_05_11_02 -
1,153,2000000000,-2.26689147949219,-38.4989738464355,4.55999999999999,0,0,2023_05_11_02 -
1,153,2041666666.66667,-2.46621966362,-38.7530784606934,4.55999999999999,0,0,2023_05_11_02 -
1,153,2083333333.33333,-2.77890038490295,-39.8886795043945,4.55999999999999,0,0,2023_05_11_02 -
